"","data_inici","nom_regio","hospitalizaciones","defunciones","Ingresos_UCI"
"399","25/10/2021","CATALUNYA CENTRAL",5,2,5
"400","25/10/2021","GIRONA",3,2,7
"401","01/11/2021","BARCELONA",15,4,47
"402","01/11/2021","CATALUNYA CENTRAL",1,1,5
"403","01/11/2021","GIRONA",1,1,9
"404","08/11/2021","BARCELONA",72,16,49
"405","08/11/2021","CATALUNYA CENTRAL",12,3,8
"406","08/11/2021","GIRONA",8,6,13
"407","08/11/2021","LLEIDA",3,2,6
"408","15/11/2021","BARCELONA",90,16,65
"409","15/11/2021","CAMP DE TARRAGONA",4,2,10
"410","15/11/2021","CATALUNYA CENTRAL",13,2,9
"411","15/11/2021","GIRONA",19,5,13
"412","15/11/2021","LLEIDA",3,1,7
"413","22/11/2021","BARCELONA",111,21,83
"414","22/11/2021","CATALUNYA CENTRAL",25,5,12
"415","22/11/2021","GIRONA",22,4,26
"416","22/11/2021","LLEIDA",3,2,8
"417","29/11/2021","BARCELONA",197,34,101
"418","29/11/2021","CAMP DE TARRAGONA",5,2,16
"419","29/11/2021","CATALUNYA CENTRAL",46,12,26
"420","29/11/2021","GIRONA",30,6,22
"421","29/11/2021","LLEIDA",14,3,12
"422","29/11/2021","TERRES DE L'EBRE",1,1,3
"423","06/12/2021","BARCELONA",344,37,149
"424","06/12/2021","CAMP DE TARRAGONA",6,2,16
"425","06/12/2021","CATALUNYA CENTRAL",57,12,21
"426","06/12/2021","GIRONA",55,10,39
"427","06/12/2021","LLEIDA",12,5,10
"428","06/12/2021","TERRES DE L'EBRE",2,1,7
"429","13/12/2021","BARCELONA",476,76,194
"430","13/12/2021","CAMP DE TARRAGONA",15,5,27
"431","13/12/2021","CATALUNYA CENTRAL",79,13,21
"432","13/12/2021","GIRONA",109,22,47
"433","13/12/2021","LLEIDA",32,14,20
"434","13/12/2021","TERRES DE L'EBRE",3,2,12
"435","20/12/2021","ALT PIRINEU I ARAN",2,3,0
"436","20/12/2021","BARCELONA",573,82,254
"437","20/12/2021","CAMP DE TARRAGONA",21,6,25
"438","20/12/2021","CATALUNYA CENTRAL",58,19,29
"439","20/12/2021","GIRONA",156,30,52
"440","20/12/2021","LLEIDA",38,12,22
"441","27/12/2021","ALT PIRINEU I ARAN",2,1,0
"442","27/12/2021","BARCELONA",695,106,309
"443","27/12/2021","CAMP DE TARRAGONA",36,10,26
"444","27/12/2021","CATALUNYA CENTRAL",64,16,27
"445","27/12/2021","GIRONA",127,22,52
"446","27/12/2021","LLEIDA",43,13,25
"447","27/12/2021","TERRES DE L'EBRE",5,4,13
"448","03/01/2022","ALT PIRINEU I ARAN",1,1,0
"449","03/01/2022","BARCELONA",1171,129,353
"450","03/01/2022","CAMP DE TARRAGONA",29,4,31
"451","03/01/2022","CATALUNYA CENTRAL",125,26,27
"452","03/01/2022","GIRONA",148,22,53
"453","03/01/2022","LLEIDA",29,9,21
"454","03/01/2022","TERRES DE L'EBRE",12,8,13
"455","10/01/2022","ALT PIRINEU I ARAN",1,1,0
"456","10/01/2022","BARCELONA",1412,171,373
"457","10/01/2022","CAMP DE TARRAGONA",67,14,39
"458","10/01/2022","CATALUNYA CENTRAL",83,20,30
"459","10/01/2022","GIRONA",164,35,50
"460","10/01/2022","LLEIDA",48,11,19
"461","10/01/2022","TERRES DE L'EBRE",9,4,11
"462","17/01/2022","ALT PIRINEU I ARAN",5,3,0
"463","17/01/2022","BARCELONA",1576,208,376
"464","17/01/2022","CAMP DE TARRAGONA",94,14,37
"465","17/01/2022","CATALUNYA CENTRAL",155,27,29
"466","17/01/2022","GIRONA",141,26,47
"467","17/01/2022","LLEIDA",45,11,20
"468","17/01/2022","TERRES DE L'EBRE",8,8,13
"469","24/01/2022","ALT PIRINEU I ARAN",11,3,0
"470","24/01/2022","BARCELONA",1645,202,315
"471","24/01/2022","CAMP DE TARRAGONA",113,13,36
"472","24/01/2022","CATALUNYA CENTRAL",151,27,30
"473","24/01/2022","GIRONA",196,47,49
"474","24/01/2022","LLEIDA",96,26,20
"475","24/01/2022","TERRES DE L'EBRE",20,7,14
"476","31/01/2022","ALT PIRINEU I ARAN",8,4,0
"477","31/01/2022","BARCELONA",1445,212,275
"478","31/01/2022","CAMP DE TARRAGONA",98,18,34
"479","31/01/2022","CATALUNYA CENTRAL",130,24,25
"480","31/01/2022","GIRONA",209,31,33
"481","31/01/2022","LLEIDA",58,16,12
"482","31/01/2022","TERRES DE L'EBRE",20,5,12
"483","07/02/2022","ALT PIRINEU I ARAN",8,2,0
"484","07/02/2022","BARCELONA",1075,173,239
"485","07/02/2022","CAMP DE TARRAGONA",68,16,26
"486","07/02/2022","CATALUNYA CENTRAL",95,26,20
"487","07/02/2022","GIRONA",108,18,30
"488","07/02/2022","LLEIDA",62,17,6
"489","07/02/2022","TERRES DE L'EBRE",4,1,13
"490","14/02/2022","ALT PIRINEU I ARAN",3,2,0
"491","14/02/2022","BARCELONA",789,112,189
"492","14/02/2022","CAMP DE TARRAGONA",55,10,20
"493","14/02/2022","CATALUNYA CENTRAL",96,17,14
"494","14/02/2022","GIRONA",117,22,31
"495","14/02/2022","LLEIDA",50,8,6
"496","21/02/2022","BARCELONA",442,63,131
"497","21/02/2022","CAMP DE TARRAGONA",30,6,22
"498","21/02/2022","CATALUNYA CENTRAL",44,11,13
"499","21/02/2022","GIRONA",82,19,21
"500","21/02/2022","LLEIDA",23,8,4
"501","21/02/2022","TERRES DE L'EBRE",3,1,6
"502","28/02/2022","BARCELONA",436,53,111
"503","28/02/2022","CAMP DE TARRAGONA",26,4,17
"504","28/02/2022","CATALUNYA CENTRAL",21,4,10
"505","28/02/2022","GIRONA",28,7,14
"506","28/02/2022","LLEIDA",4,2,4
"507","28/02/2022","TERRES DE L'EBRE",7,3,5
"508","07/03/2022","BARCELONA",358,41,90
"509","07/03/2022","CAMP DE TARRAGONA",19,5,15
"510","07/03/2022","CATALUNYA CENTRAL",44,7,10
"511","07/03/2022","GIRONA",26,9,9
"512","07/03/2022","LLEIDA",7,2,4
"513","07/03/2022","TERRES DE L'EBRE",1,1,2
"514","14/03/2022","BARCELONA",328,32,71
"515","14/03/2022","CAMP DE TARRAGONA",17,3,13
"516","14/03/2022","CATALUNYA CENTRAL",28,5,7
"517","14/03/2022","GIRONA",29,8,9
"518","14/03/2022","LLEIDA",13,4,5
"519","21/03/2022","BARCELONA",246,30,56
"520","21/03/2022","CAMP DE TARRAGONA",22,3,12
"521","21/03/2022","CATALUNYA CENTRAL",23,2,5
"522","21/03/2022","GIRONA",25,7,9
"523","21/03/2022","LLEIDA",8,4,3
"524","28/03/2022","BARCELONA",233,24,40
"525","28/03/2022","CAMP DE TARRAGONA",7,2,8
"526","28/03/2022","CATALUNYA CENTRAL",24,4,4
"527","28/03/2022","GIRONA",11,3,5
"528","28/03/2022","LLEIDA",8,3,2
"529","04/04/2022","BARCELONA",276,32,36
"530","04/04/2022","CAMP DE TARRAGONA",20,4,8
